"","ID","ecs","tcr","rcp","pulse","cool","term","start","theta","alpha","delta","prob"
"28",28,54,16,"RCP3PD",40,12,2400,2025,10,0.00618,0.03,0.02
"29",29,28,26,"RCP6",100,16,2400,2025,22,0.00361,0.04,0.07
"30",30,89,23,"RCP6",2,27,2500,2075,34,0.00308,0.01,0.05
"31",31,56,32,"RCP6",70,26,2500,2100,13,0.00357,0.02,0.02
"32",32,32,8,"RCP3PD",50,29,2500,2075,45,0.00499,0.07,0.07
"33",33,18,23,"RCP3PD",2,4,2300,2025,12,0.0016,0,0.03
"34",34,54,20,"RCP45",70,13,2400,2075,12,0.00854,0.03,0.03
"35",35,46,19,"RCP3PD",50,21,2500,2075,13,0.00643,0.07,0.1
"36",36,20,11,"RCP85",10,27,2500,2050,25,0.00377,0,0.03
"37",37,112,11,"RCP6",90,28,2500,2075,19,0.01171,0.02,0.07
"38",38,21,34,"RCP3PD",30,6,2300,2050,39,0.00252,0.04,0.08
"39",39,28,14,"RCP6",60,8,2300,2050,14,0.00159,0.05,0.09
"40",40,19,17,"RCP85",50,15,2500,2100,17,0.00554,0,0.06
"41",41,22,11,"RCP45",20,12,2500,2100,15,0.00525,0.07,0.06
"42",42,31,21,"RCP85",20,9,2300,2075,11,0.00267,0.01,0.05
"43",43,39,17,"RCP3PD",70,37,2400,2100,9,0.00832,0.07,0.07
"44",44,26,17,"RCP6",80,28,2500,2100,16,0.00303,0.02,0.01
"45",45,21,12,"RCP85",70,39,2500,2100,30,0.01049,0.03,0.06
"46",46,51,11,"RCP6",50,20,2300,2050,20,0.00706,0.03,0.1
"47",47,30,17,"RCP6",40,32,2500,2050,9,0.0122,0,0.04
"48",48,26,18,"RCP3PD",60,15,2600,2075,19,0.00921,0.05,0.02
"49",49,37,12,"RCP3PD",90,36,2300,2050,13,0.00621,0.02,0.02
"50",50,15,12,"RCP3PD",70,30,2400,2100,19,0.00962,0.03,0.07
"51",51,85,27,"RCP85",40,28,2500,2075,14,0.00724,0.04,0.06
"52",52,40,14,"RCP3PD",60,5,2600,2100,20,0.00617,0,0.08
"53",53,39,26,"RCP85",80,19,2500,2100,33,0.00235,0.01,0.07
"54",54,31,14,"RCP45",80,34,2500,2050,17,0.00118,0.01,0.07
"55",55,57,24,"RCP85",40,27,2600,2050,16,0.00827,0.07,0.02
"56",56,58,47,"RCP85",60,28,2500,2100,19,0.01349,0.06,0.1
"57",57,18,27,"RCP85",20,37,2400,2100,16,0.01327,0.04,0.03
"58",58,17,17,"RCP6",60,26,2400,2100,20,0.00684,0,0.02
"59",59,67,30,"RCP85",100,9,2600,2100,6,0.01112,0.03,0.1
"60",60,93,21,"RCP85",10,31,2500,2075,14,0.00684,0.03,0.05
"61",61,15,13,"RCP6",30,5,2500,2075,13,0.02749,0.07,0.05
"62",62,18,18,"RCP85",10,27,2400,2100,12,0.007,0.07,0.03
"63",63,22,22,"RCP3PD",80,34,2500,2025,18,0.00999,0.01,0.01
"64",64,55,21,"RCP85",70,19,2500,2100,17,0.00368,0.03,0.1
"65",65,22,24,"RCP85",40,19,2600,2025,15,0.01634,0.04,0
"66",66,38,14,"RCP85",60,39,2600,2075,15,0.00318,0.06,0.09
"67",67,50,13,"RCP85",2,2,2300,2050,12,0.00211,0.07,0.06
"68",68,32,32,"RCP6",90,33,2300,2050,10,0.00497,0.01,0.1
"69",69,38,15,"RCP6",100,31,2400,2025,18,0.00746,0.03,0.02
"70",70,23,38,"RCP3PD",40,38,2500,2075,15,0.00136,0.05,0.1
"71",71,38,9,"RCP45",80,25,2600,2050,24,0.00629,0.03,0.06
"72",72,24,29,"RCP3PD",60,15,2300,2050,10,0.00391,0.03,0.07
"73",73,29,32,"RCP45",30,26,2500,2050,10,0.01316,0.02,0.1
"74",74,11,24,"RCP3PD",40,11,2400,2100,20,0.00096,0.03,0.07
"75",75,21,9,"RCP3PD",20,39,2400,2100,25,0.00806,0.03,0.07
"76",76,38,25,"RCP85",40,6,2300,2100,35,0.003,0.07,0.1
"77",77,19,23,"RCP45",100,18,2600,2100,28,0.0028,0,0.09
"78",78,14,17,"RCP3PD",50,35,2300,2050,14,0.02741,0.02,0.04
"79",79,30,25,"RCP3PD",70,8,2400,2075,14,0.00314,0.04,0.06
"80",80,18,27,"RCP85",100,11,2400,2050,19,0.00766,0.07,0.05
"81",81,20,17,"RCP45",60,34,2300,2050,5,0.00576,0,0.05
"82",82,36,25,"RCP45",100,15,2600,2100,15,0.00421,0,0.09
"83",83,49,13,"RCP85",70,13,2300,2100,21,0.00508,0.05,0.1
"84",84,45,10,"RCP3PD",2,36,2600,2100,17,0.00521,0.07,0.06
"85",85,17,19,"RCP3PD",40,24,2400,2100,24,0.01971,0.02,0.08
"86",86,12,20,"RCP6",70,37,2500,2075,10,0.00908,0.04,0.08
"87",87,24,38,"RCP6",40,14,2400,2025,19,0.00229,0,0.03
"88",88,42,25,"RCP3PD",100,5,2600,2075,10,0.02142,0.05,0.08
"89",89,33,25,"RCP85",2,3,2500,2100,21,0.01545,0.07,0.05
"90",90,19,26,"RCP45",90,32,2300,2075,20,0.01017,0.07,0.09
"91",91,43,13,"RCP45",30,31,2600,2050,22,0.00618,0.01,0.04
"92",92,30,15,"RCP3PD",40,5,2300,2100,14,0.00337,0.01,0.02
"93",93,29,15,"RCP6",2,7,2300,2025,19,0.00714,0.05,0.08
"94",94,16,20,"RCP6",80,28,2600,2100,9,0.0132,0.03,0.03
"95",95,44,12,"RCP6",60,26,2400,2050,19,0.0044,0.03,0.04
"96",96,29,21,"RCP6",50,2,2400,2075,18,0.0049,0.04,0.08
"97",97,33,29,"RCP85",80,25,2400,2025,9,0.00846,0.02,0
"98",98,19,22,"RCP85",50,19,2300,2025,20,0.00671,0,0.05
"99",99,37,16,"RCP45",90,4,2300,2075,26,0.01027,0.06,0.06
"100",100,37,23,"RCP6",10,23,2300,2075,17,0.00558,0.03,0.04
"101",101,66,27,"RCP85",100,3,2300,2050,19,0.00727,0.07,0
"102",102,31,22,"RCP3PD",50,2,2300,2100,11,0.00514,0.04,0.09
"103",103,37,20,"RCP3PD",50,15,2600,2050,7,0.00341,0.01,0.03
"104",104,33,23,"RCP6",20,7,2500,2025,11,0.00166,0.06,0.09
"105",105,37,24,"RCP45",80,34,2300,2100,9,0.00241,0,0.08
"106",106,45,18,"RCP45",50,16,2300,2025,16,0.02383,0.02,0.06
"107",107,49,9,"RCP3PD",50,9,2400,2100,18,0.00718,0.01,0.09
"108",108,51,30,"RCP6",2,13,2500,2050,17,0.00811,0.01,0.01
"109",109,25,16,"RCP3PD",10,4,2500,2075,19,0.01119,0.04,0.01
"110",110,17,10,"RCP3PD",10,31,2300,2025,19,0.00412,0.03,0.01
"111",111,15,28,"RCP85",40,27,2600,2075,10,0.00544,0.02,0.05
"112",112,33,26,"RCP3PD",30,6,2400,2075,8,0.00849,0.01,0.04
"113",113,26,19,"RCP6",2,13,2300,2025,18,0.00781,0.06,0.09
"114",114,35,37,"RCP3PD",90,35,2600,2025,11,0.00358,0.05,0.04
"115",115,10,23,"RCP45",20,15,2300,2100,15,0.00655,0.04,0.01
"116",116,16,6,"RCP85",30,1,2300,2100,19,0.00473,0.05,0
"117",117,17,29,"RCP6",30,1,2400,2050,18,0.00259,0,0.1
"118",118,57,30,"RCP3PD",100,18,2500,2075,20,0.00396,0.01,0.06
"119",119,37,28,"RCP45",20,17,2400,2075,20,0.00351,0.01,0.09
"120",120,21,29,"RCP45",30,19,2600,2100,19,0.00247,0.04,0
"121",121,77,15,"RCP85",80,9,2400,2050,13,0.00543,0.03,0
"122",122,41,14,"RCP3PD",70,9,2500,2025,11,0.00859,0.05,0.07
"123",123,45,38,"RCP85",70,13,2400,2100,9,0.01436,0.03,0.1
"124",124,27,18,"RCP45",100,30,2400,2100,19,0.00725,0.04,0.04
"125",125,38,17,"RCP3PD",50,24,2500,2025,19,0.00967,0.07,0.06
"126",126,26,16,"RCP85",10,26,2600,2050,16,0.00439,0.06,0.02
"127",127,18,20,"RCP45",100,29,2300,2050,15,0.00803,0.06,0.07
"128",128,34,18,"RCP45",10,31,2300,2025,10,0.00738,0.03,0.01
"129",129,29,26,"RCP3PD",20,8,2500,2075,16,0.00487,0.06,0.02
"130",130,30,33,"RCP3PD",80,25,2600,2025,16,0.00375,0.04,0.06
"131",131,57,32,"RCP45",90,18,2500,2075,38,0.00641,0,0.06
"132",132,43,30,"RCP3PD",90,38,2600,2075,20,0.0075,0.01,0.01
"133",133,55,18,"RCP3PD",30,9,2500,2075,12,0.00248,0.05,0.04
"134",134,25,9,"RCP6",40,0,2400,2050,16,0.00246,0.04,0.09
"135",135,13,23,"RCP85",20,19,2300,2075,12,0.00749,0.01,0.08
"136",136,105,17,"RCP85",50,22,2400,2100,20,0.00691,0.03,0.02
"137",137,71,37,"RCP85",20,19,2600,2025,20,0.00103,0.06,0
"138",138,30,12,"RCP85",70,23,2300,2100,16,0.00593,0.01,0.1
"139",139,32,13,"RCP85",70,36,2300,2050,16,0.00296,0.07,0.05
"140",140,35,24,"RCP45",10,16,2300,2025,13,0.00244,0.04,0.07
"141",141,32,26,"RCP3PD",50,38,2300,2075,9,0.01337,0.03,0.05
"142",142,33,17,"RCP6",20,37,2500,2100,15,0.01336,0.05,0.07
"143",143,23,23,"RCP45",100,9,2500,2075,10,0.00225,0.04,0.02
"144",144,41,16,"RCP3PD",2,23,2600,2050,13,0.00735,0.04,0.08
"145",145,30,15,"RCP45",40,20,2300,2025,8,0.00191,0.05,0.07
"146",146,38,10,"RCP6",90,14,2400,2025,23,0.00802,0.05,0.04
"147",147,30,16,"RCP6",100,28,2400,2075,33,0.0105,0.03,0.1
"148",148,69,18,"RCP45",20,2,2300,2050,15,0.00752,0.02,0
"149",149,38,12,"RCP85",50,11,2300,2075,27,0.00535,0,0
"150",150,18,11,"RCP45",90,10,2500,2050,20,0.01587,0.01,0.06
"151",151,41,32,"RCP45",100,21,2400,2075,29,0.00493,0.05,0.01
"152",152,19,17,"RCP45",50,22,2400,2025,14,0.00184,0.02,0.03
"153",153,34,8,"RCP45",20,23,2300,2050,16,0.00597,0.05,0.01
"154",154,51,15,"RCP45",10,20,2600,2075,36,0.00593,0.02,0.06
"155",155,92,30,"RCP45",100,32,2600,2100,20,0.01542,0.01,0.03
"156",156,35,12,"RCP85",10,17,2400,2075,30,0.00491,0.05,0
"157",157,34,11,"RCP3PD",90,35,2500,2075,16,0.02141,0.03,0.04
"158",158,45,41,"RCP45",70,14,2600,2050,34,0.00078,0.04,0.03
"159",159,28,41,"RCP3PD",40,29,2600,2075,8,0.00283,0.06,0.07
"160",160,25,22,"RCP45",40,24,2600,2050,16,0.00689,0.02,0
"161",161,30,13,"RCP6",60,10,2500,2050,22,0.00973,0.05,0.02
"162",162,24,20,"RCP45",10,37,2300,2050,14,0.00325,0.02,0.02
"163",163,23,35,"RCP6",30,20,2500,2075,14,0.00383,0.01,0.03
"164",164,28,30,"RCP85",40,35,2500,2100,11,0.00375,0.06,0.03
"165",165,13,12,"RCP3PD",80,13,2500,2075,10,0.01237,0.02,0.03
"166",166,17,18,"RCP85",80,18,2600,2050,32,0.00292,0.05,0.1
"167",167,37,23,"RCP85",70,18,2600,2100,13,0.00596,0.02,0
"168",168,24,14,"RCP3PD",100,30,2400,2100,10,0.00529,0,0.08
"169",169,55,18,"RCP45",20,14,2600,2050,13,0.00222,0.07,0.03
"170",170,45,19,"RCP45",80,20,2300,2025,8,0.00699,0.01,0
"171",171,20,10,"RCP85",20,12,2300,2100,21,0.00353,0.04,0.09
"172",172,14,18,"RCP85",90,3,2300,2100,23,0.01847,0.05,0.04
"173",173,18,11,"RCP85",90,3,2300,2100,16,0.0013,0,0.05
"174",174,48,10,"RCP85",40,28,2600,2075,14,0.01574,0.05,0.1
"175",175,41,16,"RCP6",80,23,2500,2025,15,0.00811,0.01,0.05
"176",176,22,16,"RCP85",40,0,2600,2025,17,0.01043,0,0.04
"177",177,11,24,"RCP45",10,15,2600,2025,23,0.0018,0.06,0.08
"178",178,29,21,"RCP6",30,4,2300,2050,10,0.01159,0.04,0.04
"179",179,9,29,"RCP3PD",80,34,2600,2075,15,0.00365,0.02,0.07
"180",180,13,17,"RCP6",2,29,2500,2050,6,0.00458,0.07,0.02
"181",181,44,19,"RCP85",2,22,2400,2100,15,0.00192,0.05,0.04
"182",182,21,21,"RCP45",90,8,2600,2100,19,0.0057,0.03,0.09
"183",183,35,19,"RCP85",30,15,2400,2100,11,0.00744,0.01,0.05
"184",184,47,29,"RCP85",2,3,2600,2025,12,6e-04,0.05,0.09
"185",185,19,39,"RCP6",20,25,2400,2075,17,0.00595,0.07,0.03
"186",186,26,15,"RCP45",20,39,2600,2075,11,0.00599,0.05,0.01
"187",187,21,37,"RCP45",40,11,2600,2050,25,0.00156,0.01,0
"188",188,22,14,"RCP6",50,3,2500,2025,16,0.00451,0.05,0
"189",189,9,18,"RCP6",2,16,2300,2100,11,0.00254,0.02,0.1
"190",190,26,13,"RCP85",40,12,2300,2025,7,0.00953,0.07,0
"191",191,53,21,"RCP85",2,21,2300,2075,12,0.00431,0.03,0.1
"192",192,26,9,"RCP45",20,9,2300,2100,21,0.00134,0.06,0.08
"193",193,82,17,"RCP85",2,26,2400,2075,13,0.01039,0.01,0.05
"194",194,47,10,"RCP45",30,20,2400,2050,20,0.00513,0,0.05
"195",195,29,10,"RCP85",80,32,2500,2025,19,0.01165,0.01,0
"196",196,42,15,"RCP3PD",2,3,2300,2050,25,0.0041,0.02,0
"197",197,39,33,"RCP6",30,29,2400,2075,9,0.00212,0.06,0.07
"198",198,22,17,"RCP3PD",30,14,2300,2025,27,0.00986,0.01,0.01
"199",199,17,21,"RCP6",90,34,2600,2100,19,0.00612,0.02,0.03
"200",200,36,15,"RCP45",40,26,2300,2025,22,0.0037,0.01,0.09
"201",201,43,21,"RCP45",60,18,2600,2075,12,0.00531,0.04,0.07
"202",202,34,22,"RCP85",80,31,2500,2100,16,0.00639,0.05,0.04
"203",203,35,14,"RCP45",2,9,2300,2075,17,0.00492,0.01,0.01
"204",204,26,20,"RCP3PD",30,28,2300,2075,13,0.00544,0.03,0.01
"205",205,17,27,"RCP45",10,18,2300,2075,10,0.00428,0.05,0.09
"206",206,31,21,"RCP6",10,2,2600,2100,12,0.00462,0.01,0.03
"207",207,32,15,"RCP6",100,31,2400,2025,43,0.00488,0.01,0
"208",208,57,31,"RCP6",10,6,2300,2100,14,0.01445,0.05,0.04
"209",209,123,24,"RCP6",50,17,2300,2075,12,0.00402,0.02,0.09
"210",210,27,15,"RCP3PD",100,29,2600,2075,14,0.00493,0.06,0.06
"211",211,35,15,"RCP3PD",90,26,2500,2025,7,0.00347,0.04,0.01
"212",212,46,17,"RCP3PD",80,33,2400,2075,19,0.00509,0,0.04
"213",213,27,27,"RCP85",20,12,2500,2100,17,0.00571,0.04,0.02
"214",214,15,25,"RCP3PD",20,30,2300,2075,14,0.00428,0.03,0.05
"215",215,40,11,"RCP3PD",30,1,2300,2075,15,0.01072,0.06,0.03
"216",216,36,26,"RCP45",80,27,2400,2050,11,0.01473,0.02,0.05
"217",217,99,13,"RCP3PD",60,30,2500,2050,13,0.01047,0.02,0
"218",218,56,22,"RCP3PD",40,8,2600,2050,19,0.01171,0.03,0.07
"219",219,46,17,"RCP85",80,25,2300,2025,9,0.00634,0.05,0.1
"220",220,13,16,"RCP45",2,28,2600,2025,10,0.00139,0.01,0.07
"221",221,33,13,"RCP85",70,9,2400,2025,18,0.00179,0.07,0.06
"222",222,11,27,"RCP3PD",60,38,2600,2100,22,0.00145,0,0.01
"223",223,15,13,"RCP45",100,33,2600,2075,7,0.01218,0.07,0
"224",224,52,18,"RCP3PD",80,9,2500,2050,15,0.03023,0.03,0.08
"225",225,52,17,"RCP6",90,32,2300,2100,25,0.00229,0.07,0.06
"226",226,40,11,"RCP45",2,27,2600,2100,19,0.00748,0,0.07
"227",227,17,12,"RCP85",40,22,2500,2100,18,0.00697,0.02,0.08
"228",228,61,11,"RCP3PD",10,11,2500,2050,12,0.01043,0.06,0.09
"229",229,30,20,"RCP45",30,25,2600,2100,18,0.00263,0.05,0.04
"230",230,18,19,"RCP6",40,29,2300,2050,5,0.00805,0.04,0.01
"231",231,40,10,"RCP3PD",2,3,2400,2100,13,0.01286,0.02,0.1
"232",232,46,24,"RCP85",100,30,2600,2075,18,0.00439,0,0.08
"233",233,30,11,"RCP85",60,35,2600,2050,8,0.00485,0.06,0
"234",234,20,14,"RCP6",60,24,2400,2025,12,0.01348,0,0.09
"235",235,49,27,"RCP3PD",80,39,2300,2050,7,0.01997,0.01,0.05
"236",236,31,39,"RCP3PD",50,39,2600,2075,24,0.00815,0.02,0.06
"237",237,57,23,"RCP45",40,28,2600,2025,9,0.01125,0.03,0.06
"238",238,29,14,"RCP3PD",10,39,2400,2100,8,0.00537,0.07,0.01
"239",239,25,21,"RCP85",80,7,2300,2050,9,0.00164,0.01,0.09
"240",240,49,16,"RCP6",50,24,2500,2075,16,0.00414,0.03,0.03
"241",241,23,18,"RCP3PD",40,24,2600,2100,13,0.00476,0.06,0.08
"242",242,25,35,"RCP45",30,22,2500,2100,12,0.01226,0,0
"243",243,13,9,"RCP85",30,7,2500,2050,20,0.02077,0.03,0.02
"244",244,30,15,"RCP85",10,21,2500,2050,10,0.00715,0.01,0.05
"245",245,39,23,"RCP85",70,12,2400,2100,28,0.00829,0.02,0.04
"246",246,17,11,"RCP3PD",2,0,2600,2100,20,0.00414,0.05,0.08
"247",247,30,17,"RCP6",90,5,2600,2100,7,0.00406,0.04,0.06
"248",248,61,23,"RCP3PD",80,7,2300,2025,21,0.00782,0,0.05
"249",249,39,13,"RCP6",100,15,2400,2025,15,0.00894,0.07,0.06
"250",250,49,30,"RCP6",100,10,2300,2050,9,0.00431,0,0.09
"251",251,33,36,"RCP45",80,26,2500,2100,43,0.00454,0.02,0.07
"252",252,21,24,"RCP6",90,9,2600,2075,12,0.0057,0.06,0.1
"253",253,30,28,"RCP6",30,40,2300,2075,13,0.00396,0.04,0.1
"254",254,34,7,"RCP45",50,30,2500,2100,13,0.00918,0.02,0
"255",255,38,15,"RCP6",2,3,2500,2050,12,0.00916,0.03,0.01
"256",256,16,14,"RCP3PD",90,31,2500,2025,14,0.01206,0,0.05
"257",257,24,20,"RCP45",20,21,2300,2075,21,0.00089,0.07,0.01
"258",258,40,24,"RCP85",90,25,2500,2025,17,0.00414,0,0.02
"259",259,27,18,"RCP6",30,5,2500,2025,16,0.00429,0,0
"260",260,22,16,"RCP6",90,19,2300,2025,14,0.00388,0.07,0.07
"261",261,51,22,"RCP3PD",50,25,2600,2075,11,0.00078,0.02,0.01
"262",262,13,21,"RCP3PD",90,1,2600,2100,9,0.00502,0.07,0.1
"263",263,42,25,"RCP3PD",10,30,2500,2075,15,0.00272,0.03,0.01
"264",264,43,17,"RCP45",100,25,2500,2050,23,0.00347,0.03,0.09
"265",265,13,15,"RCP3PD",30,33,2300,2025,15,0.00767,0.01,0.08
"266",266,24,21,"RCP45",2,1,2600,2025,12,0.00676,0.07,0.02
"267",267,44,28,"RCP6",100,8,2500,2025,20,0.00229,0.01,0.06
"268",268,26,15,"RCP6",80,37,2500,2100,20,0.00985,0.05,0.08
"269",269,48,22,"RCP3PD",30,28,2600,2075,13,0.00764,0.07,0.01
"270",270,22,9,"RCP3PD",30,8,2400,2025,17,0.00592,0.02,0.08
"271",271,24,9,"RCP45",60,29,2300,2050,24,0.0088,0.06,0.07
"272",272,44,23,"RCP45",50,21,2400,2050,14,0.02798,0.01,0.1
"273",273,32,10,"RCP85",70,8,2400,2100,20,0.00368,0.05,0.01
"274",274,16,10,"RCP85",40,12,2400,2050,12,0.00144,0.01,0.09
"275",275,13,10,"RCP85",60,29,2400,2025,14,0.00234,0.03,0.1
"276",276,67,9,"RCP6",50,4,2600,2050,23,0.02355,0.07,0.09
"277",277,43,18,"RCP85",30,35,2500,2075,31,0.01262,0.03,0.09
"278",278,33,20,"RCP45",30,29,2400,2025,24,0.01268,0.05,0.04
"279",279,44,20,"RCP6",90,6,2600,2100,14,0.0072,0.04,0.06
"280",280,35,29,"RCP85",30,26,2500,2050,12,0.00388,0.03,0.03
"281",281,35,31,"RCP3PD",20,33,2500,2050,24,0.00945,0.03,0.01
"282",282,31,22,"RCP3PD",40,38,2400,2050,16,0.00927,0,0.04
"283",283,50,24,"RCP6",2,6,2300,2025,18,0.0036,0.07,0.04
"284",284,31,17,"RCP85",50,6,2600,2100,12,0.0039,0.06,0
"285",285,17,13,"RCP6",10,13,2300,2100,13,0.0061,0.05,0.1
"286",286,202,17,"RCP3PD",40,12,2600,2050,18,0.01263,0.06,0.04
"287",287,33,14,"RCP85",100,30,2600,2025,22,0.0175,0.06,0.08
"288",288,39,34,"RCP6",90,29,2500,2025,10,0.00471,0,0.04
"289",289,15,19,"RCP6",70,5,2500,2025,7,0.01207,0.06,0.04
"290",290,24,9,"RCP45",80,26,2500,2100,21,0.00246,0.05,0.01
"291",291,13,15,"RCP45",60,3,2300,2100,11,0.00697,0.01,0.05
"292",292,15,9,"RCP85",80,7,2600,2075,20,0.00585,0.03,0
"293",293,16,17,"RCP45",40,31,2400,2050,14,0.00821,0.02,0.1
"294",294,33,30,"RCP45",40,29,2300,2075,12,0.00118,0.03,0
"295",295,32,32,"RCP85",50,35,2400,2075,14,0.00186,0,0.08
"296",296,37,20,"RCP3PD",90,35,2400,2025,19,0.00514,0.04,0
"297",297,27,20,"RCP3PD",70,29,2400,2100,35,0.00461,0.04,0.03
"298",298,77,13,"RCP45",60,1,2600,2025,11,0.00347,0.05,0
"299",299,46,14,"RCP85",10,35,2400,2050,12,0.0062,0,0
"300",300,26,28,"RCP3PD",100,1,2500,2100,6,0.00262,0.02,0.05
"301",301,64,27,"RCP45",50,3,2500,2025,14,0.00196,0.07,0.09
"302",302,38,19,"RCP85",20,40,2400,2075,15,0.00636,0.04,0.06
"303",303,51,13,"RCP85",40,28,2400,2075,14,0.00342,0.05,0.07
"304",304,33,29,"RCP45",60,11,2500,2075,11,0.02135,0.05,0
"305",305,26,13,"RCP3PD",100,33,2400,2025,11,0.00477,0.07,0.1
"306",306,10,14,"RCP6",2,17,2500,2100,28,0.00395,0.07,0.02
"307",307,42,13,"RCP85",50,34,2300,2100,7,0.00231,0.03,0.04
"308",308,30,14,"RCP6",50,12,2600,2100,21,0.03204,0.02,0.1
"309",309,30,21,"RCP85",100,11,2300,2075,13,0.00599,0.07,0.1
"310",310,24,19,"RCP6",80,6,2500,2050,18,0.00698,0.07,0.07
"311",311,52,23,"RCP85",90,20,2300,2025,19,0.00724,0.06,0.09
"312",312,75,19,"RCP45",70,24,2400,2100,17,0.00703,0.03,0.05
"313",313,32,18,"RCP45",90,20,2400,2025,15,0.00674,0.07,0.05
"314",314,24,24,"RCP6",20,9,2500,2025,15,0.00964,0.07,0.04
"315",315,20,15,"RCP6",100,12,2300,2025,14,0.00405,0.05,0.02
"316",316,78,21,"RCP6",60,26,2300,2025,22,0.00388,0.01,0.03
"317",317,23,29,"RCP6",30,10,2500,2025,18,0.00818,0.03,0.01
"318",318,26,17,"RCP45",20,25,2600,2025,17,0.03194,0.03,0.03
"319",319,33,14,"RCP3PD",30,14,2500,2025,19,0.00376,0.06,0.05
"320",320,30,31,"RCP3PD",100,22,2500,2025,11,0.00798,0.04,0.06
"321",321,38,18,"RCP85",40,40,2500,2025,26,0.00317,0.05,0.04
"322",322,21,17,"RCP85",70,31,2400,2025,13,0.00305,0.05,0.02
"323",323,28,30,"RCP85",30,19,2400,2025,12,0.00853,0.05,0.03
"324",324,18,12,"RCP3PD",30,31,2300,2050,22,0.00389,0,0.03
"325",325,21,27,"RCP45",70,35,2500,2075,25,0.00881,0.03,0.1
"326",326,38,40,"RCP85",30,15,2300,2050,17,0.00236,0.07,0.05
"327",327,31,13,"RCP6",40,31,2400,2075,20,0.00718,0.03,0
"328",328,51,21,"RCP85",70,19,2500,2075,23,0.00149,0.05,0.08
"329",329,18,16,"RCP45",70,33,2300,2100,9,0.00976,0.02,0.09
"330",330,12,28,"RCP6",90,22,2500,2050,17,0.00152,0.05,0.08
"331",331,40,24,"RCP85",20,24,2400,2075,10,0.01144,0.01,0.05
"332",332,37,16,"RCP6",40,19,2600,2075,5,0.02063,0.06,0.01
"333",333,39,8,"RCP45",50,20,2600,2075,21,0.01051,0.03,0.06
"334",334,53,32,"RCP3PD",90,13,2500,2050,16,0.00229,0.03,0.03
"335",335,24,14,"RCP85",10,28,2600,2075,27,0.0054,0.07,0.1
"336",336,27,20,"RCP85",70,35,2400,2050,15,0.00925,0,0.09
"337",337,40,15,"RCP6",60,35,2500,2100,24,0.02123,0.02,0.07
"338",338,70,15,"RCP3PD",100,3,2600,2075,16,0.00201,0.04,0.02
"339",339,27,18,"RCP6",30,13,2400,2025,11,0.00344,0.02,0.08
"340",340,24,20,"RCP85",100,38,2400,2050,11,0.00875,0.06,0.05
"341",341,29,14,"RCP3PD",70,32,2400,2100,9,0.01126,0.06,0.08
"342",342,35,28,"RCP85",70,40,2400,2050,17,0.00772,0.02,0.08
"343",343,51,19,"RCP85",10,29,2400,2050,13,0.00428,0.07,0.08
"344",344,20,18,"RCP6",50,6,2300,2075,11,0.00507,0.05,0.06
"345",345,23,22,"RCP45",50,10,2300,2075,18,0.00413,0.04,0.06
"346",346,11,7,"RCP6",100,12,2400,2100,11,0.00274,0.07,0.07
"347",347,61,14,"RCP85",2,34,2500,2075,14,0.00756,0.03,0.09
